,sulfonyl_fluoride_SMILES_index,base_SMILES_index,solvent_SMILES_index,m_B_index,m_C_index,t_RT1_index,t_RT2_index,T_drawH_index,T_methyl_index,yield
990099,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,3.0,1.0,10.0,50.0,50.0,72.40571
909099,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,1.0,40.0,10.0,50.0,50.0,79.306404
900499,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,1.0,1.0,138.89,50.0,50.0,73.11135
9999,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.0,1.0,40.0,300.0,50.0,50.0,69.090485
999999,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,3.0,40.0,300.0,50.0,50.0,78.28595
906599,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,1.0,27.0,171.11,50.0,50.0,76.28641
900090,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,1.0,1.0,10.0,50.0,10.0,70.19109
993490,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,3.0,14.0,138.89,50.0,10.0,69.565636
900009,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,1.0,1.0,10.0,10.0,50.0,57.601738
909799,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,1.0,40.0,235.56,50.0,50.0,79.306404
