,sulfonyl_fluoride_SMILES_index,base_SMILES_index,solvent_SMILES_index,m_B_index,m_C_index,t_RT1_index,t_RT2_index,T_drawH_index,T_methyl_index,yield
999059,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,3.0,40.0,10.0,32.2,50.0,78.28595
909959,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,1.0,40.0,300.0,32.2,50.0,79.306404
999949,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,3.0,40.0,300.0,27.8,50.0,78.28595
909259,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,1.0,40.0,74.44,32.2,50.0,79.306404
909050,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,1.0,40.0,10.0,32.2,10.0,73.01481
999953,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,3.0,40.0,300.0,32.2,23.3,74.20934
999569,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,3.0,40.0,171.11,36.7,50.0,78.28595
990949,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,3.0,1.0,300.0,27.8,50.0,72.40571
909666,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,3.0,1.0,40.0,203.33,36.7,36.7,79.68171
509959,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.56,1.0,40.0,300.0,32.2,50.0,83.62826
