,sulfonyl_fluoride_SMILES_index,base_SMILES_index,solvent_SMILES_index,m_B_index,m_C_index,t_RT1_index,t_RT2_index,T_drawH_index,T_methyl_index,yield
300099,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.33,1.0,1.0,10.0,50.0,50.0,66.35165
599000,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.56,3.0,40.0,10.0,10.0,10.0,66.577576
499099,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.44,3.0,40.0,10.0,50.0,50.0,82.83965
590909,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.56,3.0,1.0,300.0,10.0,50.0,58.077328
799007,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.78,3.0,40.0,10.0,10.0,41.1,66.79725
309999,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.33,1.0,40.0,300.0,50.0,50.0,73.01708
499009,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.44,3.0,40.0,10.0,10.0,50.0,70.04946
409095,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.44,1.0,40.0,10.0,50.0,32.2,80.61426
609900,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.67,1.0,40.0,300.0,10.0,10.0,65.20172
809067,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.89,1.0,40.0,10.0,36.7,41.1,78.70353
