,sulfonyl_fluoride_SMILES_index,base_SMILES_index,solvent_SMILES_index,m_B_index,m_C_index,t_RT1_index,t_RT2_index,T_drawH_index,T_methyl_index,yield
509019,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.56,1.0,40.0,10.0,14.4,50.0,82.797714
709045,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.78,1.0,40.0,10.0,27.8,32.2,76.58671
509088,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.56,1.0,40.0,10.0,45.6,45.6,83.62826
509926,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.56,1.0,40.0,300.0,18.9,36.7,83.51675
800095,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.89,1.0,1.0,10.0,50.0,32.2,70.57364
509057,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.56,1.0,40.0,10.0,32.2,41.1,83.62826
409928,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.44,1.0,40.0,300.0,18.9,45.6,83.62826
409967,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.44,1.0,40.0,300.0,36.7,41.1,83.62826
409057,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.44,1.0,40.0,10.0,32.2,41.1,83.62826
506925,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=CN(C)C,2.56,1.0,27.0,300.0,18.9,32.2,76.38745
